"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
3.070874998E-3	-2.128092200E-1	-4.318091273E-1	3.170009553E-1	5.763995942E-1
1.302687500E-2	-3.718026876E-1	-5.722857118E-1	1.337625831E-1	6.954427389E-1
2.298387500E-2	-5.735845566E-1	-6.975988746E-1	6.799041759E-3	9.031553910E-1
3.293987500E-2	-8.202732205E-1	-7.760632634E-1	-1.516517699E-1	1.139350958E0
4.289687500E-2	-1.009097099E0	-7.419433594E-1	-3.143512011E-1	1.291345648E0
5.285287500E-2	-1.118836403E0	-6.116138697E-1	-4.236988425E-1	1.343646952E0
6.280987500E-2	-1.158684969E0	-4.553944170E-1	-4.803426862E-1	1.334415238E0
7.276587500E-2	-1.168676972E0	-4.167971313E-1	-4.787310362E-1	1.329928238E0
8.272287500E-2	-1.161749601E0	-4.441017509E-1	-3.907332718E-1	1.303672118E0
9.267987500E-2	-1.138949275E0	-5.441077352E-1	-2.311554849E-1	1.283234794E0
1.026358750E-1	-1.141457796E0	-7.126644850E-1	-4.891563579E-2	1.346554606E0
1.125928750E-1	-1.161111355E0	-8.427749276E-1	1.141682714E-1	1.439264934E0
1.225488750E-1	-1.160703659E0	-9.385228157E-1	2.392998189E-1	1.511728303E0
1.325058750E-1	-1.124871254E0	-1.007936597E0	3.011114895E-1	1.540110272E0
1.424618750E-1	-1.064455032E0	-1.047542572E0	3.341658413E-1	1.530384516E0
1.524188750E-1	-9.911866784E-1	-1.077578187E0	3.253063262E-1	1.499816651E0
1.623748750E-1	-9.190371037E-1	-1.056169629E0	2.896218300E-1	1.429686780E0
1.723318750E-1	-8.656421900E-1	-9.695540667E-1	2.473556995E-1	1.323085912E0
1.822878750E-1	-8.231762648E-1	-8.398799896E-1	2.205962539E-1	1.196528423E0
1.922448750E-1	-7.754729986E-1	-6.820802093E-1	2.098898441E-1	1.053871686E0
2.022008750E-1	-7.240319252E-1	-4.775281250E-1	2.212048173E-1	8.950904480E-1
2.121578750E-1	-6.588470340E-1	-1.970278174E-1	2.540248930E-1	7.330948242E-1
2.221138750E-1	-5.962566137E-1	6.409964710E-2	2.907650769E-1	6.664645858E-1
2.320708750E-1	-6.008002758E-1	2.037734538E-1	2.819853425E-1	6.942624326E-1
2.420268750E-1	-6.236712337E-1	3.391368687E-1	2.511382401E-1	7.530272499E-1
2.519838750E-1	-6.298156977E-1	3.692668676E-1	2.372381240E-1	7.676638327E-1
2.619398750E-1	-6.279594302E-1	2.059050947E-1	2.569679022E-1	7.090574425E-1
2.718968750E-1	-5.841682553E-1	3.927671164E-2	2.836899161E-1	6.505960184E-1
2.818528750E-1	-5.283499956E-1	-1.477730721E-1	3.746813238E-1	6.643618691E-1
2.918098750E-1	-4.712806344E-1	-1.539108008E-1	4.010533690E-1	6.376815630E-1
3.017658750E-1	-4.082007408E-1	-5.169655755E-2	3.771080971E-1	5.581316115E-1
3.117228750E-1	-3.305571079E-1	1.780811101E-1	3.607419729E-1	5.206876745E-1
3.216788750E-1	-2.393480986E-1	3.248380423E-1	4.061472714E-1	5.725057834E-1
3.316358750E-1	-1.501287371E-1	3.440941572E-1	4.601868391E-1	5.938950695E-1
3.415918750E-1	-7.348456234E-2	3.150760829E-1	4.961914420E-1	5.923502900E-1
3.515488750E-1	-1.635650545E-2	2.524712682E-1	5.133981109E-1	5.723520741E-1
3.615048750E-1	5.838810932E-3	2.388156354E-1	5.386248827E-1	5.892230170E-1
3.714618750E-1	-5.548514798E-2	2.113556713E-1	5.786249638E-1	6.185116572E-1
3.814178750E-1	-1.571356058E-1	3.440063894E-1	6.040272713E-1	7.126576590E-1
3.913751250E-1	-2.795472443E-1	5.115377903E-1	6.135459542E-1	8.463192132E-1
4.013311250E-1	-3.856097758E-1	4.969755709E-1	5.663848519E-1	8.464463467E-1
4.112881250E-1	-4.793111086E-1	3.211924434E-1	4.788239300E-1	7.497840225E-1
4.212441250E-1	-5.766413808E-1	2.117666006E-1	3.714703023E-1	7.178792104E-1
4.312011250E-1	-6.428496838E-1	1.490943581E-1	2.727745175E-1	7.140663701E-1
4.411571250E-1	-6.575628519E-1	1.323358864E-1	2.124872208E-1	7.035996802E-1
4.511141250E-1	-7.442709208E-1	8.520428091E-2	1.636662483E-1	7.668021999E-1
4.610701250E-1	-8.606806397E-1	-1.195541918E-1	8.515278995E-2	8.731067323E-1
4.710271250E-1	-7.371735573E-1	-7.129172981E-2	4.831593856E-2	7.421871693E-1
4.809831250E-1	-5.375557542E-1	-4.204941913E-2	3.698578849E-2	5.404648842E-1
4.909401250E-1	-3.136592805E-1	-2.473105118E-2	4.256318137E-2	3.174986513E-1
5.008961250E-1	-9.167017043E-2	2.292248793E-2	3.949601948E-2	1.024148239E-1
5.108531250E-1	7.947699726E-2	-2.035838366E-2	3.851912543E-2	9.063542300E-2
5.208091250E-1	1.628214270E-1	-2.113102376E-1	8.022849262E-2	2.785667687E-1
5.307661250E-1	1.485773623E-1	-4.134857953E-1	1.758471280E-1	4.732525202E-1
5.407221250E-1	4.770720378E-2	-5.267532468E-1	3.102392852E-1	6.131829861E-1
5.506791250E-1	-4.268399253E-2	-4.457054734E-1	4.348010123E-1	6.241211521E-1
5.606351250E-1	-1.195502803E-1	-2.979732752E-1	5.502213240E-1	6.370430500E-1
5.705921250E-1	-1.469832808E-1	-8.663085848E-2	5.129251480E-1	5.405563781E-1
5.805481250E-1	-2.395832539E-1	2.488527820E-2	3.228409886E-1	4.027973641E-1
5.905051250E-1	-3.410146236E-1	3.768135607E-2	2.669504583E-1	4.347107145E-1
6.004611250E-1	-4.480225742E-1	3.954370320E-2	2.611839175E-1	5.201009231E-1
6.104181250E-1	-5.430174470E-1	9.669955075E-2	2.936982810E-1	6.248819338E-1
6.203741250E-1	-6.218144894E-1	1.999582946E-1	3.368715644E-1	7.349279078E-1
6.303311250E-1	-6.716752052E-1	2.990532815E-1	3.896775246E-1	8.321231998E-1
6.402871250E-1	-6.670303941E-1	3.451707065E-1	4.304209650E-1	8.656411325E-1
6.502441250E-1	-6.025515199E-1	3.805496693E-1	4.299193919E-1	8.322962624E-1
6.602001250E-1	-4.973249137E-1	4.433374107E-1	3.896167278E-1	7.718039415E-1
6.701571250E-1	-3.789245784E-1	5.025156736E-1	3.406271040E-1	7.156344475E-1
6.801131250E-1	-2.646992207E-1	5.289800167E-1	2.830197215E-1	6.557329474E-1
6.900701250E-1	-1.721832007E-1	4.848219752E-1	1.961383224E-1	5.506084305E-1
7.000261250E-1	-8.861880004E-2	3.975776136E-1	1.211287826E-1	4.249628602E-1
7.099831250E-1	-2.574424259E-2	3.118380308E-1	5.641071126E-2	3.179432211E-1
7.199391250E-1	3.335156664E-2	2.835057378E-1	4.389518499E-2	2.888158888E-1
7.298961250E-1	9.041839838E-2	2.617214322E-1	5.397348478E-2	2.821112049E-1
7.398521250E-1	1.516426057E-1	2.490956485E-1	7.558584213E-2	3.012595915E-1
7.498091250E-1	1.542747170E-1	1.892568767E-1	9.553521872E-2	2.621942633E-1
7.597651250E-1	1.311161369E-1	1.521001756E-1	1.436984837E-1	2.469314865E-1
7.697221250E-1	9.670834988E-2	1.865738481E-1	1.901090741E-1	2.833791908E-1
7.796781250E-1	5.194513500E-2	2.028098106E-1	2.317153662E-1	3.122853299E-1
7.896351250E-1	-2.060770988E-2	1.911421269E-1	2.609623671E-1	3.241316822E-1
7.995911250E-1	-9.880131483E-2	1.646958739E-1	2.709007561E-1	3.320747662E-1
8.095481250E-1	-1.828891337E-1	1.304170638E-1	2.742434144E-1	3.544947053E-1
8.195041250E-1	-2.873393595E-1	9.970337152E-2	2.865616083E-1	4.178782421E-1
8.294611250E-1	-3.935402930E-1	7.656993717E-2	3.025373518E-1	5.022606562E-1
8.394171250E-1	-5.043709874E-1	6.644726545E-2	3.255518675E-1	6.039779387E-1
8.493741250E-1	-5.688848495E-1	7.966637611E-2	3.039853871E-1	6.499106239E-1
8.593301250E-1	-5.907267928E-1	3.604060039E-2	2.477476746E-1	6.415886368E-1
8.692871250E-1	-5.529688001E-1	-2.821753919E-2	1.834913343E-1	5.833007742E-1
8.792431250E-1	-4.703394473E-1	-9.793004394E-2	1.495307088E-1	5.031589431E-1
8.892001250E-1	-3.434879482E-1	-1.933966875E-1	1.559054255E-1	4.239018176E-1
8.991561250E-1	-1.868911684E-1	-3.276144266E-1	2.002428025E-1	4.270324359E-1
9.091131250E-1	-1.924379170E-2	-5.203452706E-1	2.674348056E-1	5.853639034E-1
9.190691250E-1	1.464194804E-1	-6.994047761E-1	3.415007889E-1	7.919775842E-1
9.290261250E-1	2.816701829E-1	-7.841157317E-1	3.967121243E-1	9.227979640E-1
9.389821250E-1	3.948888779E-1	-8.379427195E-1	3.574909568E-1	9.929174241E-1
9.489391250E-1	4.485029876E-1	-8.207648993E-1	2.943368256E-1	9.805325679E-1
9.588951250E-1	4.570021927E-1	-7.544165254E-1	2.451730222E-1	9.154808074E-1
9.688521250E-1	4.111762643E-1	-6.105701923E-1	2.082060426E-1	7.649912655E-1
9.788081250E-1	3.085798621E-1	-4.061470032E-1	2.063245177E-1	5.502242507E-1
9.887651250E-1	1.907724440E-1	-2.185788155E-1	2.393912971E-1	3.761369659E-1
9.987211250E-1	9.290846437E-2	-8.974626660E-2	3.024472296E-1	3.288779437E-1
1.008678125E0	3.262655064E-2	-2.654179186E-2	3.837349117E-1	3.860329532E-1
1.018634125E0	1.100582536E-3	1.216112822E-2	4.566282928E-1	4.567915302E-1
1.028591125E0	1.239073463E-4	1.011461392E-2	5.056058764E-1	5.057070526E-1
1.038547125E0	2.217008732E-2	7.048659027E-4	5.237103105E-1	5.241798345E-1
1.048504125E0	3.969702497E-2	-2.261166275E-2	5.191583633E-1	5.211646067E-1
1.058460125E0	1.990494132E-2	-9.775488079E-2	4.878859520E-1	4.979808486E-1
1.068417125E0	-1.146440953E-2	-1.963453591E-1	4.623314738E-1	5.024274320E-1
1.078373125E0	-3.082718886E-2	-2.692512572E-1	4.323360026E-1	5.102557929E-1
1.088330125E0	-3.576773405E-2	-3.275005817E-1	3.932994306E-1	5.130500989E-1
1.098286125E0	-4.745608568E-2	-3.679404259E-1	3.363474607E-1	5.007612719E-1
1.108243125E0	-7.705230266E-2	-3.850679994E-1	2.755359113E-1	4.797233160E-1
1.118199125E0	-1.537974030E-1	-3.922076821E-1	2.303433865E-1	4.801443354E-1
1.128156125E0	-2.716317475E-1	-3.872620761E-1	1.974939853E-1	5.126008155E-1
1.138112125E0	-3.644000292E-1	-3.581430614E-1	1.597170532E-1	5.353161410E-1
1.148069125E0	-4.196695089E-1	-3.316713870E-1	1.201699376E-1	5.482419352E-1
1.158025125E0	-4.095401764E-1	-2.915479541E-1	9.507630020E-2	5.116276659E-1
1.167982125E0	-3.552619517E-1	-2.174194604E-1	8.142950386E-2	4.243972669E-1
1.177938125E0	-2.720261812E-1	-1.383579373E-1	3.443429619E-2	3.071268188E-1
1.187895125E0	-1.964875460E-1	-4.956721142E-2	-1.035925895E-1	2.275866621E-1
1.197851125E0	-1.520188898E-1	2.549318410E-2	-2.659037113E-1	3.073506613E-1
1.207808125E0	-1.412217021E-1	8.145741187E-3	-3.991789222E-1	4.235017522E-1
1.217764125E0	-1.326862723E-1	-6.874690950E-2	-4.325337112E-1	4.576212361E-1
1.227721125E0	-1.256066412E-1	-1.372562498E-1	-3.689093590E-1	4.131711771E-1
1.237677125E0	-1.334110349E-1	-1.556717455E-1	-2.176247686E-1	2.989861811E-1
1.247634125E0	-9.129774570E-2	-1.835133731E-1	-5.441321805E-2	2.120689388E-1
1.257590125E0	-5.038490519E-3	-2.168902457E-1	4.042434320E-2	2.206827872E-1
1.267547125E0	1.163631976E-1	-2.177107781E-1	2.933212183E-2	2.485935438E-1
1.277503125E0	2.826400399E-1	-1.313620359E-1	-2.928325534E-2	3.130477371E-1
1.287460125E0	4.173858762E-1	4.391587898E-2	-4.892333597E-2	4.225317347E-1
1.297416125E0	5.056901574E-1	1.738147587E-1	-2.943911590E-2	5.355378298E-1
1.307373125E0	5.529091358E-1	2.076572627E-1	-6.732746027E-3	5.906567371E-1
1.317329125E0	5.646398067E-1	1.389437169E-1	6.675737444E-3	5.815221692E-1
1.327286125E0	5.377421379E-1	1.037384197E-2	1.193529554E-2	5.379746042E-1
1.337242125E0	4.843774438E-1	-1.298349351E-1	4.233820736E-2	5.032605113E-1
1.347199125E0	4.052996635E-1	-2.387149781E-1	8.129087090E-2	4.773477388E-1
1.357155125E0	3.259422481E-1	-3.251265585E-1	1.086907983E-1	4.730320473E-1
1.367112125E0	2.515021563E-1	-3.697682619E-1	1.265289038E-1	4.647488199E-1
1.377068125E0	1.765927672E-1	-3.605396152E-1	1.437896490E-1	4.264379002E-1
1.387021750E0	1.028716192E-1	-2.987969518E-1	1.681493372E-1	3.579614337E-1
1.396977750E0	2.604847588E-2	-1.958082467E-1	2.027232945E-1	2.830479230E-1
1.406934750E0	-3.436721489E-2	-4.317413643E-2	2.380085140E-1	2.443218457E-1
1.416890750E0	-7.926864177E-2	1.354744285E-1	2.657381296E-1	3.086318063E-1
1.426847750E0	-9.129363298E-2	2.944897711E-1	2.763478458E-1	4.140372986E-1
1.436803750E0	-6.892201304E-2	4.011017084E-1	2.737632394E-1	4.904886702E-1
1.446760750E0	-3.037796542E-2	4.633596241E-1	2.793196142E-1	5.418896649E-1
1.456716750E0	3.097860143E-2	4.891800582E-1	2.941369116E-1	5.716409064E-1
1.466673750E0	9.413681924E-2	4.589599669E-1	3.020857275E-1	5.574601140E-1
1.476629750E0	1.421482861E-1	4.129384160E-1	2.982456982E-1	5.288428568E-1
1.486586750E0	1.529462337E-1	3.385677934E-1	2.768545151E-1	4.633239942E-1
1.496542750E0	1.392469257E-1	2.359407544E-1	2.516642213E-1	3.720115942E-1
1.506499750E0	1.042383686E-1	1.168672591E-1	2.208174020E-1	2.707100271E-1
1.516455750E0	6.000059843E-2	-3.042632248E-3	1.740578860E-1	1.841343996E-1
1.526412750E0	-2.636603545E-3	-8.574898541E-2	1.253284663E-1	1.518784535E-1
1.536368750E0	-9.322881699E-2	-1.203037649E-1	1.024601832E-1	1.834739690E-1
1.546325750E0	-2.302152663E-1	-1.358730197E-1	1.096207798E-1	2.889243183E-1
1.556281750E0	-3.792087436E-1	-1.285573095E-1	1.320507228E-1	4.216202633E-1
1.566238750E0	-5.328391790E-1	-6.836328655E-2	1.581199616E-1	5.599937963E-1
1.576194750E0	-6.641076803E-1	3.533859923E-2	1.761801839E-1	6.879878523E-1
1.586151750E0	-7.509200573E-1	1.364170164E-1	1.696628332E-1	7.818414237E-1
1.596107750E0	-7.943551540E-1	2.294494957E-1	1.412484944E-1	8.388076770E-1
1.606064750E0	-7.865882516E-1	2.979535162E-1	1.120770127E-1	8.485626860E-1
1.616020750E0	-7.494656444E-1	3.529976010E-1	1.166232899E-1	8.366044765E-1
1.625977750E0	-6.979742050E-1	3.811497986E-1	1.547124237E-1	8.101722619E-1
1.635933750E0	-6.430552602E-1	3.821226358E-1	2.039404213E-1	7.753253974E-1
1.645890750E0	-5.951260924E-1	3.428137302E-1	2.562988698E-1	7.330657748E-1
1.655846750E0	-5.425848365E-1	2.592128515E-1	3.214099705E-1	6.818313401E-1
1.665803750E0	-4.922002256E-1	1.745297760E-1	3.805041313E-1	6.461463447E-1
1.675759750E0	-4.464740157E-1	9.317313135E-2	4.357244968E-1	6.307742197E-1
1.685716750E0	-4.172939956E-1	1.855504140E-2	4.940752387E-1	6.469844742E-1
1.695672750E0	-4.134465158E-1	-3.564401343E-2	5.709345937E-1	7.058150093E-1
1.705629750E0	-4.202334881E-1	-6.855643541E-2	6.687510610E-1	7.927951506E-1
1.715585750E0	-4.283263087E-1	-7.666443288E-2	7.689421177E-1	8.835229722E-1
1.725542750E0	-4.371468723E-1	-7.149150968E-2	8.472751975E-1	9.560772376E-1
1.735498750E0	-4.340751767E-1	-5.461665615E-2	8.952800035E-1	9.964589921E-1
