"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
1.896629165E-2	-2.279172838E-1	-6.998062730E-1	4.364338517E-2	7.372786807E-1
2.892229168E-2	-2.663002908E-1	-8.315435052E-1	3.427841142E-2	8.738166028E-1
3.887729166E-2	-3.222895265E-1	-9.159390926E-1	5.212824792E-2	9.723848593E-1
4.883329166E-2	-3.951973617E-1	-9.367476702E-1	1.076244637E-1	1.022379664E0
5.878929165E-2	-5.219651461E-1	-9.666690826E-1	1.743987054E-1	1.112345107E0
6.874429167E-2	-7.227336168E-1	-1.041612387E0	2.505679131E-1	1.292317501E0
7.870029166E-2	-9.443309903E-1	-1.130855441E0	3.216585815E-1	1.507998439E0
8.865529168E-2	-1.139047384E0	-1.212153912E0	3.801122904E-1	1.706233103E0
9.861129167E-2	-1.303489089E0	-1.328389525E0	4.200730324E-1	1.907921353E0
1.085672917E-1	-1.419766665E0	-1.464064837E0	4.555976391E-1	2.089687162E0
1.185222917E-1	-1.478993177E0	-1.548187494E0	4.921087921E-1	2.196924304E0
1.284782917E-1	-1.462772369E0	-1.577483296E0	5.248622894E-1	2.214415719E0
1.384332917E-1	-1.405405164E0	-1.594918489E0	5.499244928E-1	2.195756273E0
1.483892917E-1	-1.337865829E0	-1.597226143E0	5.853141546E-1	2.164164732E0
1.583452917E-1	-1.273492813E0	-1.596123815E0	6.106080413E-1	2.131252532E0
1.683002917E-1	-1.270363688E0	-1.622101426E0	6.301134825E-1	2.154548662E0
1.782562917E-1	-1.324360371E0	-1.617523193E0	6.741474867E-1	2.196539666E0
1.882122917E-1	-1.395106077E0	-1.609242678E0	7.137826085E-1	2.246212050E0
1.981672917E-1	-1.471452713E0	-1.637666583E0	7.259197235E-1	2.318207145E0
2.081232917E-1	-1.535983443E0	-1.667362094E0	7.345945239E-1	2.383059085E0
2.180782917E-1	-1.582665682E0	-1.678568363E0	7.451813817E-1	2.424400483E0
2.280342917E-1	-1.572997689E0	-1.654694438E0	7.456332445E-1	2.401729450E0
2.379902917E-1	-1.510880232E0	-1.654451251E0	7.340184450E-1	2.357700383E0
2.479452917E-1	-1.418488145E0	-1.668502092E0	7.055732608E-1	2.300834952E0
2.579012917E-1	-1.276393414E0	-1.696509004E0	6.432281733E-1	2.218347454E0
2.678562917E-1	-1.106042743E0	-1.739446282E0	5.600531101E-1	2.136039186E0
2.778122917E-1	-9.219487906E-1	-1.676849484E0	4.807828069E-1	1.973060028E0
2.877682917E-1	-7.309240103E-1	-1.529016972E0	3.980770409E-1	1.740864193E0
2.977232917E-1	-5.695407391E-1	-1.315819263E0	3.146423399E-1	1.467908985E0
3.076792917E-1	-4.439894557E-1	-1.068155766E0	2.471562326E-1	1.182864988E0
3.176342917E-1	-3.590596318E-1	-8.298624754E-1	1.940597296E-1	9.247998302E-1
3.275902917E-1	-3.015837371E-1	-6.361029148E-1	1.621181518E-1	7.224001411E-1
3.375462917E-1	-2.587534487E-1	-4.997176528E-1	1.476745009E-1	5.817893416E-1
3.475012917E-1	-1.985245198E-1	-4.236707091E-1	1.373998225E-1	4.876346644E-1
3.574572917E-1	-1.270969510E-1	-3.516881168E-1	1.355979294E-1	3.977750179E-1
3.674132917E-1	-5.709314719E-2	-2.598407567E-1	1.205662042E-1	2.920839877E-1
3.773682917E-1	-1.648659818E-2	-1.539659947E-1	7.611298561E-2	1.725413632E-1
3.873242917E-1	-2.142360434E-2	-3.669337183E-2	4.158714041E-2	5.945472737E-2
3.972792917E-1	-6.395614892E-2	5.686880648E-2	1.470865496E-2	8.683774909E-2
4.072352917E-1	-1.120253727E-1	1.178772002E-1	1.174015738E-2	1.630415584E-1
4.171912917E-1	-1.467199773E-1	1.605620831E-1	2.068678103E-2	2.184831279E-1
4.271462917E-1	-1.595330089E-1	1.731787920E-1	2.679631300E-2	2.369804155E-1
4.371022917E-1	-1.554764807E-1	1.497315168E-1	3.010981716E-2	2.179428005E-1
4.470572917E-1	-1.217011288E-1	9.846349806E-2	2.849766240E-2	1.591173842E-1
4.570132917E-1	-8.033505082E-2	5.425768718E-2	3.042792156E-2	1.016045049E-1
4.669692917E-1	-2.623590082E-2	4.729544744E-2	3.958510607E-2	6.702359632E-2
4.769242917E-1	3.014987707E-2	8.343774080E-2	4.559692740E-2	9.974944344E-2
4.868802917E-1	7.824435830E-2	1.649638414E-1	4.889402911E-2	1.890128955E-1
4.968352917E-1	1.152881235E-1	2.375893146E-1	4.498077929E-2	2.678867379E-1
5.067912917E-1	1.302288026E-1	2.922231555E-1	3.508143499E-2	3.218456473E-1
5.167472917E-1	1.279246360E-1	3.080386221E-1	2.553160302E-2	3.345211024E-1
5.267022917E-1	1.103114039E-1	2.682737410E-1	1.704995520E-2	2.905685924E-1
5.366582917E-1	9.231881797E-2	1.981154382E-1	1.257930696E-2	2.189308795E-1
5.466142917E-1	6.115280092E-2	1.144664884E-1	3.552911058E-2	1.345531855E-1
5.565692917E-1	2.648323774E-2	4.235208780E-2	7.590316236E-2	9.086446653E-2
5.665252917E-1	-2.864874434E-3	-2.578720450E-2	9.172298759E-2	9.532205345E-2
5.764802917E-1	-1.256277598E-2	-4.071741924E-2	1.026568562E-1	1.111492766E-1
5.864362917E-1	-1.654747687E-2	-2.563403174E-2	6.916322559E-2	7.559414229E-2
5.963922917E-1	-3.163374960E-2	2.141177468E-2	3.611286357E-2	5.256707262E-2
6.063472917E-1	-4.574192315E-2	7.431102544E-2	6.273316685E-3	8.748603625E-2
6.163032917E-1	-5.058461428E-2	1.216441914E-1	-5.347653292E-3	1.318510899E-1
6.262592917E-1	-4.936119914E-2	1.388679296E-1	-1.471698098E-2	1.481128603E-1
6.362142917E-1	-4.889674485E-2	1.348044872E-1	-1.459394302E-2	1.441392542E-1
6.461702917E-1	-5.244700983E-2	1.064644009E-1	-1.305220276E-2	1.193973094E-1
6.561252917E-1	-5.949133635E-2	9.143272042E-2	-1.940756850E-2	1.107962778E-1
6.660812917E-1	-7.764313370E-2	7.498528808E-2	-2.682228200E-2	1.112235787E-1
6.760372917E-1	-9.840034693E-2	2.795333415E-2	-3.048066609E-2	1.067384100E-1
6.859922917E-1	-1.180161759E-1	-3.232282773E-2	-2.625372075E-2	1.251472765E-1
6.959482917E-1	-1.265151203E-1	-6.685044616E-2	-2.071461082E-2	1.445826854E-1
7.059042917E-1	-1.198433265E-1	-5.916351080E-2	-1.985461637E-2	1.351182804E-1
7.158592917E-1	-9.153579175E-2	-2.082704008E-2	-2.409037389E-2	9.691704125E-2
7.258152917E-1	-6.176690012E-2	3.209520876E-2	-2.656615712E-2	7.450512117E-2
7.357702917E-1	-3.333259374E-2	7.906617969E-2	-2.837843820E-2	9.037620445E-2
7.457262917E-1	-8.701751009E-3	1.194270402E-1	-2.579337917E-2	1.224901499E-1
7.556822917E-1	1.597225666E-3	1.345292926E-1	-2.243326791E-2	1.363962360E-1
7.656372917E-1	5.784726702E-3	1.212967858E-1	-1.031350717E-2	1.218718250E-1
7.755932917E-1	-1.968001481E-3	9.760637581E-2	-2.064099070E-3	9.764803190E-2
7.855482917E-1	-3.725159680E-3	6.270031631E-2	2.238733432E-4	6.281127764E-2
7.955042917E-1	-5.150749814E-3	2.854287438E-2	-3.164999187E-3	2.917607104E-2
8.054602917E-1	-1.367246639E-2	1.632533967E-2	-4.142520018E-3	2.169362867E-2
8.154152917E-1	-2.481380105E-2	1.438336261E-2	-3.503361717E-3	2.889427946E-2
8.253712917E-1	-4.770875350E-2	2.742099948E-2	5.235426943E-5	5.502762137E-2
8.353272917E-1	-7.630524784E-2	5.771179125E-2	5.900464603E-4	9.567387236E-2
8.452822917E-1	-1.007539481E-1	1.019908711E-1	2.241619397E-3	1.433824282E-1
8.552382917E-1	-1.123746485E-1	1.490856707E-1	-2.717186464E-3	1.867136362E-1
8.651932917E-1	-1.113864630E-1	2.080729753E-1	-4.986188840E-3	2.360639093E-1
8.751492917E-1	-9.925469756E-2	2.445630729E-1	-9.388660081E-3	2.641036512E-1
8.851052917E-1	-8.367281407E-2	2.251395285E-1	-4.591736011E-3	2.402291222E-1
8.950602917E-1	-5.971421674E-2	1.901141703E-1	-3.612492001E-3	1.993043791E-1
9.050162917E-1	-4.269778728E-2	1.508409977E-1	-4.760873970E-3	1.568399616E-1
9.149722917E-1	-1.899245381E-2	1.024183482E-1	-9.440314025E-3	1.045913518E-1
9.249272917E-1	-9.674159810E-4	6.521138549E-2	-9.556791745E-3	6.591504350E-2
